2026-04-10 18:17:49.284 | WARNING  | text2sparql_client.commands.ask:ask_command:182 - db26:1-es | ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-10 18:17:49.285 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:1-es | Retrying (1/5) after 15 seconds...
2026-04-10 18:19:04.454 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:1-es | ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-10 18:19:04.455 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:1-es | Retrying (2/5) after 15 seconds...
2026-04-10 18:20:19.616 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:1-es | ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-10 18:20:19.618 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:1-es | Retrying (3/5) after 15 seconds...
2026-04-10 18:21:34.758 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - db26:1-es | ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-10 18:21:34.758 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:1-es | Retrying (4/5) after 15 seconds...
2026-04-10 18:23:00.440 | WARNING  | text2sparql_client.commands.ask:ask_command:182 - db26:1-es | ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-10 18:23:00.440 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:1-es | Retrying (1/5) after 15 seconds...
2026-04-10 18:26:38.167 | WARNING  | text2sparql_client.commands.ask:ask_command:182 - db26:1-es | HTTPSConnectionPool(host='grasp.cs.uni-freiburg.de', port=443): Read timed out. (read timeout=180)
2026-04-10 18:26:38.167 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:1-es | Retrying (1/5) after 15 seconds...
2026-04-10 19:02:21.737 | WARNING  | text2sparql_client.commands.ask:ask_command:182 - db26:20-es | HTTPSConnectionPool(host='grasp.cs.uni-freiburg.de', port=443): Read timed out. (read timeout=180)
2026-04-10 19:02:21.737 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - db26:20-es | Retrying (1/5) after 15 seconds...
