2026-04-15 13:46:43.953 | WARNING  | text2sparql_client.commands.ask:ask_command:182 - ck26:29-de | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-15 13:46:43.953 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:29-de | Retrying (1/5) after 15 seconds...
2026-04-15 13:49:59.001 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - ck26:29-de | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-15 13:49:59.002 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:29-de | Retrying (2/5) after 15 seconds...
2026-04-15 13:53:14.053 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - ck26:29-de | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-15 13:53:14.053 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:29-de | Retrying (3/5) after 15 seconds...
2026-04-15 13:56:29.103 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - ck26:29-de | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-15 13:56:29.105 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:29-de | Retrying (4/5) after 15 seconds...
2026-04-15 13:59:44.234 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - ck26:29-de | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-15 13:59:44.235 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:29-de | Retrying (5/5) after 15 seconds...
id: 34-de caused: Internal Server Error
id: 36-de caused: Internal Server Error
2026-04-15 14:44:31.004 | WARNING  | text2sparql_client.commands.ask:ask_command:182 - ck26:44-de | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-15 14:44:31.005 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:44-de | Retrying (1/5) after 15 seconds...
2026-04-15 14:47:46.130 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - ck26:44-de | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-15 14:47:46.131 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:44-de | Retrying (2/5) after 15 seconds...
2026-04-15 14:51:01.185 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - ck26:44-de | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-15 14:51:01.186 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:44-de | Retrying (3/5) after 15 seconds...
2026-04-15 14:54:16.246 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - ck26:44-de | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-15 14:54:16.247 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:44-de | Retrying (4/5) after 15 seconds...
2026-04-15 14:57:31.332 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - ck26:44-de | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-15 14:57:31.332 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:44-de | Retrying (5/5) after 15 seconds...
2026-04-15 15:00:46.375 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - ck26:44-de | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-15 15:00:46.375 | ERROR    | text2sparql_client.commands.ask:_retry_response:44 - ck26:44-de | Maximum number of retries reached. Skipping question.
2026-04-15 15:03:46.412 | WARNING  | text2sparql_client.commands.ask:ask_command:182 - ck26:45-en | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-15 15:03:46.412 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:45-en | Retrying (1/5) after 15 seconds...
2026-04-15 15:07:01.463 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - ck26:45-en | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-15 15:07:01.464 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:45-en | Retrying (2/5) after 15 seconds...
2026-04-15 15:10:16.659 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - ck26:45-en | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-15 15:10:16.659 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:45-en | Retrying (3/5) after 15 seconds...
2026-04-15 15:13:31.719 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - ck26:45-en | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-15 15:13:31.720 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:45-en | Retrying (4/5) after 15 seconds...
2026-04-15 15:16:46.769 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - ck26:45-en | HTTPConnectionPool(host='research.liberai.org', port=8000): Read timed out. (read timeout=180)
2026-04-15 15:16:46.769 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:45-en | Retrying (5/5) after 15 seconds...
id: 44-de caused: Internal Server Error
