2026-04-15 12:55:34.069 | WARNING  | text2sparql_client.commands.ask:ask_command:182 - ck26:8-de | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-15 12:55:34.069 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:8-de | Retrying (1/5) after 15 seconds...
2026-04-15 13:03:59.188 | WARNING  | text2sparql_client.commands.ask:ask_command:182 - ck26:11-de | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-15 13:03:59.188 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:11-de | Retrying (1/5) after 15 seconds...
2026-04-15 13:07:14.318 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - ck26:11-de | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-15 13:07:14.318 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:11-de | Retrying (2/5) after 15 seconds...
2026-04-15 13:10:29.470 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - ck26:11-de | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-15 13:10:29.470 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:11-de | Retrying (3/5) after 15 seconds...
2026-04-15 13:13:44.650 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - ck26:11-de | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-15 13:13:44.650 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:11-de | Retrying (4/5) after 15 seconds...
2026-04-15 13:20:51.571 | WARNING  | text2sparql_client.commands.ask:ask_command:182 - ck26:14-en | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-15 13:20:51.571 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:14-en | Retrying (1/5) after 15 seconds...
2026-04-15 13:24:06.691 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - ck26:14-en | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-15 13:24:06.692 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:14-en | Retrying (2/5) after 15 seconds...
2026-04-15 13:27:21.871 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - ck26:14-en | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-15 13:27:21.872 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:14-en | Retrying (3/5) after 15 seconds...
2026-04-15 13:30:37.001 | WARNING  | text2sparql_client.commands.ask:_retry_response:68 - ck26:14-en | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-15 13:30:37.001 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:14-en | Retrying (4/5) after 15 seconds...
2026-04-15 14:07:43.784 | WARNING  | text2sparql_client.commands.ask:ask_command:182 - ck26:48-de | HTTPSConnectionPool(host='26c.text2sparql.cc-eti.org', port=443): Read timed out. (read timeout=180)
2026-04-15 14:07:43.784 | INFO     | text2sparql_client.commands.ask:_retry_response:49 - ck26:48-de | Retrying (1/5) after 15 seconds...
